キャラ,邪神ちゃん,花園ゆりね,メデューサ,ミノス,ぺこら,ぽぽろん,ぴの,ペルセポネ2世,ペルセポネ1世,リエール,キョンキョン,ランラン,遊佐,氷ちゃん,ベート,悪魔A,単眼ちゃん,あずさ2号,橘芽依,棚橋,,,,,
声優/アーティスト,鈴木愛奈,大森日雅,久保田未夢,小見川千明,小坂井祐莉絵,佐々木李子,山田麻莉奈,飯田里穂,荒浪和沙,寺田御子,M･A･O,遊佐浩二,花井美春,原奈津子,halca,ZAMB,,,,,,,,,
イベント,飯サバト,肉フェス ミノスの闘魂注入(ケツサバト),天使の日 フォーリンポップチャリティライブ,,,,,,,,,,,,,,,,,,,,,,
楽曲,あの娘にドロップキック,Home Sweet Home!,時としてバイオレンス,Love Satisfaction,CHI☆TO☆SE愛歌,ミライドライブ,神保町哀歌,"tell you, tell me",アヴェ・マリア,アイマイグラデーション,単純明快!?Something Devils!!,My Devil Forever,Dreamin' fight,Labyrinth,愛 Eye 愛,漆黒デカダンス,CAST A SPELL,友だちになろう,キラッと下克上☆,Fallen POP,Fallen Stars,,,,
聖地,神保町,文銭堂,ボンディ,ミルキーベル,太陽のめぐみ,丸駒温泉,支笏湖,サーモンパーク千歳,ラム ミート テンダー,三幸園,神保町食肉センター,ホルモン,神房,熟成和牛焼肉 エイジング・ビーフ ワテラス,,さぼうる,書泉グランデ,人生劇場,ホルモンとく,神田まつや,キッチンジロー,西神田公園,丸香,ポロピナイ食堂,もりもと
